x,y
0.36875,0.4625
0.4125,0.44375
0.525,0.08125
0.84375,0.75
0.24375,0.16875
0.9,0.64375
0.50625,0.19375
0.14375,0.6625
0.85,0.36875
0.3375,0.26875
0.21875,0.8375
0.2625,0.875
0.4125,0.6125
0.625,0.7125
0.725,0.6625
0.60625,0.55
0.5875,0.88125
0.125,0.23125
0.525,0.80625
0.5875,0.3375
0.55625,0.96875
0.6,0.775
0.6625,0.79375
0.55625,0.04375
0.3875,0.1375
0.5125,0.34375
0.15,0.7
0.58125,0.0375
0.8125,0.26875
0.575,0.625
0.2375,0.2375
0.60625,0.8125
0.54375,0.05
0.99375,0.50625
0.35,0.55625
0.575,0.575
0.85625,0.7625
0.4875,0.76875
0.83125,0.45625
0.63125,0.4625
0.3625,0.45
0.6,0.4625
0.1875,0.8625
0.11875,0.725
0.775,0.69375
0.2625,0.74375
0.7875,0.45625
0.39375,0.71875
0.6375,0.70625
0.18125,0.53125
0.5625,0.18125
0.375,0.0375
0.325,0.425
0.35,0.2625
0.69375,0.3125
0.2375,0.56875
0.05,0.58125
0.675,0.7
0.9,0.54375
0.45625,0.18125
0.13125,0.44375
0.5625,0.0125
0.7875,0.50625
0.6375,0.625
0.8875,0.7375
0.8875,0.64375
0.53125,0.8875
0.04375,0.4375
0.1125,0.24375
0.46875,0.23125
0.2875,0.4125
0.48125,0.4625
0.84375,0.7125
0.4,0.11875
0.3125,0.16875
0.425,0.75
0.725,0.28125
0.15625,0.2875
0.275,0.61875
0.86875,0.59375
0.65,0.76875
0.63125,0.6875
0.1375,0.55625
0.41875,0.49375
0.71875,0.35
0.66875,0.9
0.19375,0.5625
0.56875,0.39375
0.5375,0.6375
0.93125,0.28125
0.33125,0.56875
0.35625,0.95625
0.95,0.5625
0.825,0.2625
0.2375,0.3625
0.1375,0.3
0.89375,0.7125
0.1875,0.19375
0.44375,0.50625
0.6625,0.55625
0.1625,0.3
0.5,0.1875
0.50625,0.9875
0.425,0.54375
0.18125,0.6125
0.8375,0.76875
0.95,0.54375
0.61875,0.55625
0.1375,0.66875
0.275,0.1125
0.6,0.5375
0.05,0.525
0.08125,0.6375
0.78125,0.76875
0.53125,0.69375
0.43125,0.6
0.725,0.65625
0.8125,0.225
0.71875,0.1875
0.45,0.76875
0.49375,0.23125
0.3375,0.56875
0.1125,0.65
0.375,0.50625
0.6125,0.74375
0.71875,0.08125
0.20625,0.29375
0.3875,0.675
0.81875,0.15625
0.05625,0.50625
0.3125,0.675
0.5,0.8625
0.225,0.63125
0.125,0.575
0.45,0.6125
0.225,0.55625
0.59375,0.70625
0.44375,0.00625
0.3875,0.6125
0.575,0.18125
0.9375,0.325
0.13125,0.6125
0.25625,0.64375
0.7125,0.2375
0.48125,0.19375
0.4875,0.91875
0.84375,0.625
0.125,0.33125
0.5875,0.075
0.69375,0.6125
0.7375,0.51875
0.13125,0.63125
0.4875,0.79375
0.8,0.625
0.35625,0.1625
0.39375,0.25
0.35,0.69375
0.99375,0.45625
0.725,0.4
0.4125,0.20625
0.76875,0.10625
0.74375,0.63125
0.2625,0.8
0.8875,0.75625
0.4625,0.86875
0.3,0.5125
0.6625,0.76875
0.58125,0.2
0.525,0.81875
0.8875,0.775
0.91875,0.29375
0.7625,0.68125
0.3875,0.025
0.64375,0.35
0.23125,0.71875
0.94375,0.575
0.15625,0.175
0.54375,0.64375
0.29375,0.70625
0.3625,0.575
0.16875,0.65625
0.86875,0.35
0.7125,0.23125
0.56875,0.6125
0.4375,0.64375
0.54375,0.45
0.11875,0.375
0.28125,0.6625
0.80625,0.79375
0.3,0.075
0.3875,0.8
0.85,0.56875
0.70625,0.84375
0.60625,0.56875
0.4875,0.28125
0.45625,0.875
0.5375,0.21875
0.35625,0.33125
0.51875,0.25625
0.34375,0.8125
0.075,0.6875
0.375,0.21875
0.925,0.5125
0.025,0.4875
0.725,0.8875
0.9625,0.4875
0.2125,0.475
0.6625,0.10625
0.85,0.3625
0.36875,0.9625
0.66875,0.4
0.23125,0.66875
0.81875,0.20625
0.49375,0.98125
0.38125,0.35625
0.28125,0.14375
0.69375,0.9
0.75625,0.3375
0.7625,0.2125
0.51875,0.56875
0.69375,0.30625
0.4625,0.3875
0.475,0.56875
0.525,0.3875
0.65,0.25
0.26875,0.3625
0.725,0.1625
0.40625,0.4125
0.46875,0.06875
0.88125,0.3875
0.225,0.75
0.5375,0.75625
0.6625,0.45625
0.51875,0.95625
0.2625,0.2125
0.9125,0.525
0.4375,0.89375
0.60625,0.3625
0.76875,0.9125
0.5875,0.13125
0.50625,0.06875
0.175,0.24375
0.75,0.55
0.9875,0.4125
0.73125,0.31875
0.1375,0.23125
0.54375,0.30625
0.725,0.51875
0.35,0.23125
0.1875,0.2125
0.24375,0.65625
0.33125,0.9625
0.7625,0.9
0.29375,0.71875
0.45,0.19375
0.175,0.35
0.8375,0.7
0.775,0.63125
0.64375,0.25625
0.6,0.575
0.75625,0.525
0.65,0.18125
0.825,0.49375
0.74375,0.84375
0.44375,0.875
0.29375,0.7
0.34375,0.4625
0.61875,0.025
0.1375,0.84375
0.26875,0.48125
0.5875,0.95625
0.825,0.19375
0.925,0.70625
0.2875,0.95
0.48125,0.65
0.05625,0.59375
0.2375,0.60625
0.725,0.35625
0.7375,0.225
0.29375,0.925
0.175,0.39375
0.56875,0.91875
0.23125,0.4125
0.4625,0.975
0.81875,0.33125
0.125,0.70625
0.25,0.10625
0.80625,0.56875
0.3125,0.11875
0.5125,0.26875
0.29375,0.0875
0.03125,0.6375
0.44375,0.65
0.20625,0.58125
0.1625,0.29375
0.24375,0.28125
0.85625,0.66875
0.51875,0.3
0.6,0.85
0.74375,0.38125
0.04375,0.60625
0.6,0.6625
0.91875,0.43125
0.41875,0.9625
0.41875,0.24375
0.7625,0.7
0.29375,0.58125
0.51875,0.4875
0.0375,0.5
0.8875,0.55625
0.6,0.325
0.89375,0.6625
0.33125,0.95
0.45,0.01875
0.3125,0.1625
0.3125,0.38125
0.68125,0.85625
0.0875,0.225
0.23125,0.21875
0.775,0.81875
0.65625,0.25
0.75625,0.475
0.53125,0.01875
0.80625,0.2125
0.3625,0.06875
0.425,0.35
0.53125,0.2625
0.51875,0.03125
0.875,0.2125
0.40625,0.50625
0.15625,0.775
0.50625,0.55
0.85625,0.4875
0.3875,0.25625
0.56875,0.5
0.1125,0.5
0.38125,0.8875
0.8625,0.6875
0.325,0.2125
0.56875,0.225
0.7125,0.7375
0.50625,0.925
0.95,0.6625
0.66875,0.0375
0.3,0.525
0.35,0.1125
0.9875,0.54375
0.25625,0.2
0.3875,0.08125
0.1375,0.71875
0.64375,0.2
0.575,0.1875
0.775,0.6375
0.6875,0.41875
0.73125,0.7875
0.8125,0.8375
0.55,0.30625
0.2875,0.36875
0.875,0.8
0.16875,0.7125
0.5,0.04375
0.6,0.6875
0.6125,0.925
0.89375,0.78125
0.5,0.55
0.58125,0.575
0.14375,0.30625
0.30625,0.375
0.70625,0.06875
0.45,0.2
0.49375,0.9375
0.95625,0.5875
0.40625,0.89375
0.4875,0.0625
0.49375,0.975
0.38125,0.75625
0.7125,0.13125
0.38125,0.35
0.4875,0.2875
0.4625,0.50625
0.2875,0.93125
0.625,0.03125
0.28125,0.91875
0.85625,0.45
0.2875,0.575
0.9375,0.30625
0.6125,0.1375
0.625,0.71875
0.575,0.95625
0.5375,0.74375
0.18125,0.73125
0.43125,0.9125
0.9625,0.61875
0.99375,0.4625
0.49375,0.53125
0.83125,0.35
0.65,0.05625
0.3375,0.91875
0.76875,0.6125
0.19375,0.39375
0.55,0.2
0.1125,0.2125
0.625,0.56875
0.325,0.3875
0.84375,0.2625
0.88125,0.70625
0.875,0.34375
0.5625,0.8875
0.3,0.775
0.16875,0.575
0.65625,0.0625
0.725,0.9125
0.29375,0.9375
0.53125,0.9125
0.53125,0.13125
0.71875,0.80625
0.58125,0.9125
0.3125,0.5875
0.3,0.75625
0.1375,0.8125
0.25625,0.30625
0.64375,0.6875
0.5875,0.69375
0.7125,0.2625
0.80625,0.5
0.75625,0.5375
0.10625,0.55
0.69375,0.29375
0.5625,0.45
0.225,0.45
0.975,0.6375
0.7125,0.78125
0.39375,0.7375
0.3375,0.86875
0.575,0.08125
0.5375,0.6
0.5,0.59375
0.48125,0.625
0.325,0.15625
0.63125,0.8875
0.94375,0.325
0.06875,0.5875
0.25,0.9125
0.225,0.85
0.91875,0.44375
0.96875,0.4125
0.4625,0.40625
0.1125,0.625
0.20625,0.45
0.575,0.425
0.34375,0.68125
0.4625,0.95625
0.8125,0.825
0.88125,0.76875
0.54375,0.53125
0.4125,0.90625
0.8875,0.6
0.20625,0.39375
0.5125,0.38125
0.1375,0.3375
0.05,0.375
0.33125,0.44375
0.125,0.63125
0.95625,0.35625
0.2875,0.85
0.9125,0.5875
0.65,0.94375
0.23125,0.10625
0.4,0.95
0.68125,0.43125
0.65,0.9125
0.6875,0.36875
0.70625,0.60625
0.4625,0.55625
0.8,0.21875
0.19375,0.825
0.14375,0.5
0.68125,0.0875
0.6875,0.0875
0.35,0.3375
0.3875,0.20625
0.53125,0.3625
0.3625,0.16875
0.54375,0.675
0.2625,0.29375
0.7,0.225
0.51875,0.13125
0.9625,0.41875
0.16875,0.18125
0.55,0.53125
0.16875,0.225
0.0875,0.6125
0.21875,0.48125
0.71875,0.84375
0.775,0.4625
0.175,0.13125
0.2375,0.075
0.46875,0.51875
0.4,0.43125
0.8375,0.4875
0.65,0.49375
0.66875,0.95625
0.6375,0.28125
0.425,0.675
0.43125,0.55625
0.33125,0.75
0.025,0.49375
0.8875,0.7875
0.78125,0.8125
0.90625,0.3875
0.9625,0.34375
0.36875,0.45625
0.5125,0.8625
0.875,0.5375
0.3375,0.2
0.375,0.075
0.9375,0.275
0.28125,0.59375
0.20625,0.55625
0.68125,0.81875
0.61875,0.46875
0.48125,0.88125
0.48125,0.55625
0.21875,0.175
0.56875,0.73125
0.06875,0.30625
0.60625,0.39375
0.3,0.8
0.93125,0.29375
0.40625,0.36875
0.075,0.30625
0.2125,0.35625
0.80625,0.41875
0.05625,0.66875
0.425,0.2
0.5375,0.3875
0.71875,0.09375
0.21875,0.89375
0.16875,0.19375
0.34375,0.2
0.925,0.53125
0.61875,0.4625
0.85625,0.35625
0.86875,0.6875
0.5875,0.14375
0.66875,0.39375
0.60625,0.125
0.7125,0.85625
0.75,0.2625
0.75,0.73125
0.94375,0.31875
0.64375,0.70625
0.125,0.1875
0.58125,0.825
0.2625,0.2
0.08125,0.31875
0.1625,0.55625
0.46875,0.4
0.74375,0.375
0.63125,0.78125
0.53125,0.425
0.225,0.16875
0.49375,0.58125
0.69375,0.6
0.4125,0.88125
0.4125,0.1
0.08125,0.75
0.3125,0.93125
0.2375,0.38125
0.39375,0.54375
0.725,0.24375
0.56875,0.1875
0.8375,0.26875
0.29375,0.75625
0.29375,0.8625
0.88125,0.7625
0.68125,0.225
0.81875,0.40625
0.5125,0.28125
0.89375,0.61875
0.98125,0.39375
0.51875,0.99375
0.60625,0.6
0.775,0.44375
0.525,0.25625
0.59375,0.59375
0.3625,0.63125
0.5375,0.73125
0.09375,0.78125
0.0375,0.34375
0.5625,0.7625
0.65625,0.7375
0.325,0.38125
0.40625,0.925
0.51875,0.7875
0.5125,0.48125
0.3625,0.35625
0.51875,0.925
0.925,0.56875
0.51875,0.7
0.6875,0.575
0.7,0.73125
0.54375,0.65625
0.50625,0.3
0.84375,0.35625
0.925,0.675
0.6875,0.83125
0.3875,0.325
0.7,0.125
0.94375,0.5375
0.26875,0.14375
0.5,0.11875
0.1125,0.68125
0.21875,0.2625
0.91875,0.725
0.28125,0.1
0.4,0.20625
0.65625,0.90625
0.24375,0.8375
0.44375,0.85625
0.48125,0.7375
0.35,0.4
0.89375,0.50625
0.59375,0.15
0.16875,0.71875
0.225,0.1
0.19375,0.35625
0.66875,0.4875
0.0875,0.48125
0.9625,0.5
0.675,0.825
0.4125,0.2625
0.325,0.10625
0.3625,0.7
0.54375,0.025
0.39375,0.225
0.9125,0.2375
0.7625,0.475
0.45625,0.2875
0.84375,0.45625
0.41875,0.3
0.21875,0.58125
0.13125,0.7
0.0875,0.69375
0.5875,0.19375
0.1875,0.75625
0.55,0.54375
0.16875,0.54375
0.15625,0.3375
0.91875,0.275
0.7625,0.7375
0.525,0.5125
0.83125,0.84375
0.05625,0.55
0.89375,0.49375
0.85625,0.225
0.15625,0.59375
0.19375,0.24375
0.49375,0.1
0.39375,0.85
0.4,0.93125
0.3375,0.85625
0.8,0.4875
0.5625,0.65625
0.08125,0.40625
0.875,0.60625
0.74375,0.3625
0.61875,0.20625
0.29375,0.61875
0.69375,0.68125
0.50625,0.03125
0.45,0.83125
0.43125,0.0375
0.85,0.1625
0.59375,0.2375
0.83125,0.18125
0.2,0.2625
0.1625,0.13125
0.5375,0.96875
0.98125,0.4875
0.46875,0.975
0.45625,0.59375
0.1,0.68125
0.225,0.70625
0.375,0.91875
0.23125,0.825
0.65,0.55
0.2625,0.13125
0.275,0.575
0.64375,0.15
0.20625,0.21875
0.56875,0.04375
0.15625,0.475
0.61875,0.89375
0.8875,0.38125
0.0375,0.35
0.375,0.525
0.63125,0.84375
0.625,0.41875
0.28125,0.83125
0.75,0.68125
0.3625,0.55
0.3125,0.05625
0.3125,0.41875
0.44375,0.7625
0.225,0.825
0.075,0.45625
0.21875,0.8625
0.25625,0.3875
0.2625,0.775
0.59375,0.60625
0.2875,0.30625
0.275,0.06875
0.85,0.85
0.4375,0.95
0.35625,0.975
0.93125,0.54375
0.175,0.20625
0.55625,0.85
0.34375,0.05
0.7,0.61875
0.99375,0.48125
0.9,0.5625
0.39375,0.275
0.6625,0.90625
0.625,0.8375
0.775,0.33125
0.43125,0.875
0.3375,0.50625
0.1875,0.28125
0.86875,0.775
0.3625,0.2
0.35625,0.91875
0.28125,0.05625
0.875,0.6875
0.625,0.925
0.675,0.88125
0.43125,0.5875
0.48125,0.95
0.43125,0.8875
0.55,0.66875
0.3625,0.09375
0.0875,0.3375
0.58125,0.11875
0.78125,0.2
0.64375,0.8375
0.7875,0.3125
0.4375,0.30625
0.20625,0.425
0.8,0.46875
0.5375,0.0625
0.8875,0.6125
0.1625,0.625
0.69375,0.8
0.8,0.3
0.5375,0.375
0.75625,0.7625
0.775,0.8625
0.3125,0.525
0.5625,0.26875
0.71875,0.3125
0.325,0.25
0.49375,0.59375
0.08125,0.43125
0.78125,0.31875
0.51875,0.5625
0.4625,0.34375
0.55625,0.7
0.55,0.6375
0.33125,0.2
0.1875,0.38125
0.59375,0.3375
0.59375,0.95625
0.74375,0.5875
0.475,0.375
0.475,0.625
0.34375,0.93125
0.21875,0.50625
0.825,0.40625
0.2375,0.7375
0.4875,0.66875
0.99375,0.5375
0.29375,0.39375
0.5,0.43125
0.3125,0.80625
0.11875,0.5
0.00625,0.4375
0.89375,0.38125
0.81875,0.73125
0.08125,0.6625
0.675,0.93125
0.45625,0.56875
0.2,0.24375
0.6,0.80625
0.54375,0.0375
0.60625,0.825
0.6625,0.9625
0.20625,0.11875
0.125,0.60625
0.71875,0.38125
0.25,0.16875
0.29375,0.95
0.24375,0.39375
0.78125,0.25
0.55625,0.0125
0.09375,0.5
0.9625,0.425
0.7625,0.54375
0.63125,0.725
0.2125,0.41875
0.4625,0.85
0.79375,0.125
0.45,0.66875
0.6,0.61875
0.5625,0.1875
0.80625,0.21875
0.6375,0.21875
0.65625,0.5625
0.60625,0.76875
0.08125,0.35
0.45,0.51875
0.93125,0.59375
0.775,0.725
0.6875,0.95
0.60625,0.88125
0.70625,0.71875
0.4,0.70625
0.41875,0.825
0.325,0.59375
0.5375,0.93125
0.73125,0.79375
0.19375,0.625
0.63125,0.075
0.075,0.71875
0.09375,0.425
0.9125,0.56875
0.1375,0.56875
0.4375,0.0875
0.9125,0.4625
0.825,0.48125
0.36875,0.08125
0.6125,0.0875
0.3625,0.46875
0.38125,0.93125
0.1375,0.64375
0.66875,0.75
0.775,0.19375
0.44375,0.15
0.85625,0.75
0.29375,0.64375
0.6625,0.375
0.575,0.93125
0.625,0.66875
0.35,0.775
0.29375,0.275
0.5625,0.44375
0.61875,0.4
0.71875,0.2375
0.46875,0.58125
0.75625,0.3625
0.05625,0.64375
0.45625,0.3375
0.11875,0.68125
0.65625,0.7625
0.91875,0.58125
0.53125,0.575
0.5375,0.15
0.10625,0.74375
0.91875,0.4
0.0875,0.4875
0.49375,0.4
0.29375,0.5
0.0625,0.5125
0.3875,0.4375
0.63125,0.21875
0.3,0.275
0.4625,0.625
0.1,0.225
0.41875,0.34375
0.2375,0.91875
0.4,0.4375
0.4625,0.74375
0.48125,0.60625
0.25625,0.5125
0.16875,0.63125
0.49375,0.9125
0.48125,0.43125
0.1625,0.68125
0.7,0.71875
0.96875,0.525
0.65625,0.425
0.75625,0.125
0.21875,0.54375
0.2625,0.16875
0.21875,0.3875
0.15,0.7375
0.10625,0.7125
0.38125,0.60625
0.34375,0.275
0.5375,0.71875
0.79375,0.48125
0.54375,0.09375
0.8,0.39375
0.15625,0.8
0.53125,0.26875
0.8,0.89375
0.5,0.175
0.51875,0.15625
0.76875,0.575
0.75,0.925
0.575,0.55
0.53125,0.4625
0.4625,0.35
0.3375,0.23125
0.38125,0.7125
0.3375,0.94375
0.05,0.675
0.75625,0.9125
0.49375,0.8625
0.675,0.3375
0.49375,0.1625
0.31875,0.29375
0.2375,0.2125
0.25625,0.19375
0.2625,0.575
0.3625,0.66875
0.35625,0.6625
0.93125,0.4
0.75625,0.18125
0.13125,0.2125
0.65625,0.40625
0.275,0.8875
0.55,0.6125
0.5125,0.95625
0.53125,0.71875
0.5375,0.475
0.99375,0.5
0.275,0.24375
0.4875,0.58125
0.4125,0.0625
0.65625,0.3875
0.5,0.2875
0.8125,0.85
0.6125,0.01875
0.4625,0.53125
0.64375,0.24375
0.30625,0.44375
0.64375,0.4375
0.5625,0.075
0.5875,0.5125
0.225,0.21875
0.30625,0.6375
0.56875,0.35625
0.88125,0.40625
0.8375,0.5375
0.64375,0.625
0.775,0.1125
0.23125,0.8
0.08125,0.2375
0.6125,0.49375
0.95625,0.6375
0.46875,0.25625
0.125,0.375
0.975,0.4625
0.1875,0.275
0.1375,0.675
0.4375,0.7125
0.23125,0.8875
0.90625,0.4375
0.675,0.875
0.73125,0.5
0.09375,0.7125
0.475,0.64375
0.54375,0.3625
0.6875,0.8375
0.50625,0.1375
0.575,0.48125
0.21875,0.35625
0.6875,0.60625
0.425,0.90625
0.4875,0.175
0.25,0.525
0.6375,0.56875
0.55625,0.58125
0.65625,0.9125
0.18125,0.6
0.43125,0.525
0.66875,0.60625
0.8,0.5125
0.95625,0.5
0.55,0.99375
0.50625,0.6625
0.725,0.4875
0.20625,0.375
0.46875,0.55625
0.50625,0.775
0.4375,0.68125
0.475,0.23125
0.01875,0.51875
0.79375,0.31875
0.0375,0.66875
0.06875,0.4875
0.44375,0.74375
0.8375,0.725
0.15,0.56875
